filename,label,xmin,ymin,xmax,ymax,width,height
A_1.JPG,Block A,14,1466,4031,2701,4032,3024
A_10.JPG,Block A,346,230,4032,2665,4032,3024
A_11.jpg,Block A,278,637,4031,2897,4032,3024
A_12.jpg,Block A,14,653,3856,3014,4032,3024
A_13.jpg,Block A,433,495,4031,2966,4032,3024
A_14.jpg,Block A,11,682,4031,2953,4032,3024
A_15.jpg,Block A,194,308,3594,1700,3610,1855
A_16.jpg,Block A,92,1272,3024,3449,3024,4032
A_2.JPG,Block A,25,168,2749,1059,2767,1244
A_3.JPG,Block A,7,1172,4031,2716,4032,3024
A_4.JPG,Block A,4,1237,3972,2772,4032,3024
A_4.JPG,Block A,7,1066,4031,2852,4032,3024
A_5.jpg,Block A,27,906,2835,3537,2835,3781
A_6.jpg,Block A,9,1125,3024,3795,3024,4032
A_7.jpg,Block A,326,212,3412,3024,3412,3024
A_8.jpg,Block A,20,11,3982,2772,4032,3024
A_9.JPG,Block A,7,737,4031,2802,4032,3024
B_1.jpg,Block B,1,478,4032,1641,4032,1748
B_10.jpg,Block B,9,829,2692,3920,3024,4032
B_11.jpg,Block B,135,71,2340,2058,2600,2323
B_12.jpg,Block B,9,882,2826,3925,3024,4032
B_13.jpg,Block B,385,237,4032,2995,4032,3024
B_14.JPG,Block B,14,1492,4031,2635,4032,3024
B_15.JPG,Block B,1,1227,4031,2716,4032,3024
B_16.JPG,Block B,4,1179,4032,2679,4032,3024
B_17.JPG,Block B,20,1766,4031,2715,4032,3024
B_18.JPG,Block B,382,737,4031,2770,4032,3024
B_19.JPG,Block B,59,1543,4031,2804,4032,3024
B_2.jpg,Block B,759,1424,3427,2472,4032,3024
B_20.JPG,Block B,153,1105,3482,2866,4032,3024
B_21.JPG,Block B,293,225,2772,2606,2772,2763
B_22.JPG,Block B,125,275,3901,2064,3941,2314
B_3.jpg,Block B,97,1337,3988,3014,4032,3024
B_4.jpg,Block B,775,1640,2772,2682,4032,3024
B_5.jpg,Block B,491,1266,3736,2966,4032,3024
B_6.jpg,Block B,7,210,2937,2921,2937,2952
B_7.jpg,Block B,14,1,3024,3987,3024,4032
B_8.jpg,Block B,720,723,3549,2911,4032,3024
B_9.jpg,Block B,1,1107,3019,4032,3024,4032
C_1.jpg,Block C,7,837,4031,2564,4032,3024
C_10.jpg,Block C,24,453,4032,2775,4032,3024
C_11.jpg,Block C,4,27,3220,2901,4032,3024
C_12.JPG,Block C,2030,498,3614,2247,4032,3024
C_2.jpg,Block C,17,879,4032,2927,4032,3024
C_3.jpg,Block C,5,672,3024,3925,3024,4032
C_4.jpg,Block C,27,927,4032,2712,4032,3024
C_5.jpg,Block C,397,465,3907,2687,4032,3024
C_6.jpg,Block C,14,416,2687,3303,3024,4032
C_7.jpg,Block C,5,16,3024,3950,3024,4032
C_8.jpg,Block C,43,369,4031,3013,4032,3024
C_9.jpg,Block C,133,1198,3882,2753,4032,3024
D_1.jpg,Block D,7,1447,4032,2394,4032,3024
D_10.jpg,Block D,9,1238,3024,3897,3024,4032
D_11.jpg,Block D,5,25,3002,4032,3024,4032
D_12.JPG,Block D,43,805,4024,2721,4032,3024
D_13.jpg,Block D,8,325,2177,1678,3024,1939
D_14.jpg,Block D,257,426,2731,1423,2731,1579
D_15.jpg,Block D,239,14,2432,1682,2432,1923
D_16.jpg,Block D,41,125,2806,1335,3024,1622
D_17.jpg,Block D,504,625,3969,1001,4032,1268
D_18.jpg,Block D,4,546,4032,1296,4032,1548
D_2.jpg,Block D,11,1166,4031,2880,4032,3024
D_3.jpg,Block D,17,1266,4032,2809,4032,3024
D_4.jpg,Block D,11,750,4031,2923,4032,3024
D_5.jpg,Block D,1359,1288,4032,2977,4032,3024
D_6.jpg,Block D,1,705,4031,2995,4032,3024
D_7.jpg,Block D,14,851,3024,3977,3024,4032
D_8.jpg,Block D,14,763,3346,2656,4032,3024
D_9.jpg,Block D,14,956,2946,2398,4032,3024
E_1.jpg,Block E,233,1272,4031,2952,4032,3024
E_10.jpg,Block E,14,137,3712,3024,4032,3024
E_11.JPG,Block E,14,447,4031,2888,4032,3024
E_12.jpg,Block E,182,34,4032,2997,4032,3024
E_13.jpg,Block E,307,144,2018,2260,2751,2427
E_14.jpg,Block E,5,964,3024,3795,3024,4032
E_15.JPG,Block E,298,934,4031,2825,4032,3024
E_2.jpg,Block E,1,308,4015,3024,4032,3024
E_3.JPG,Block E,11,321,4028,3024,4032,3024
E_4.jpg,Block E,27,301,4024,3024,4032,3024
E_5.jpg,Block E,11,272,4031,3013,4032,3024
E_6.jpg,Block E,114,68,3024,3333,3024,4032
E_7.jpg,Block E,263,302,3024,2130,3024,2600
E_8.jpg,Block E,14,14,3791,3021,4032,3024
E_9.jpg,Block E,22,442,3023,4032,3024,4032
F_1.jpg,Block F,95,82,4032,2968,4032,3024
F_10.jpg,Block F,1070,7,3024,4029,3024,4032
F_11.jpg,Block F,166,166,4031,2832,4032,3024
F_12.jpg,Block F,162,1050,3972,2892,4032,3024
F_13.jpg,Block F,162,388,4004,2798,4032,3024
F_14.jpg,Block F,185,1411,3972,2627,4032,3024
F_15.jpg,Block F,1,750,4032,2795,4032,3024
F_16.jpg,Block F,1,930,3933,2943,4032,3024
F_17.jpg,Block F,7,405,3582,2866,4032,3024
F_18.jpg,Block F,182,663,4031,2734,4032,3024
F_2.jpg,Block F,82,814,4030,2885,4032,3024
F_3.jpg,Block F,57,1764,3024,3265,3024,4032
F_4.jpg,Block F,148,168,3024,3535,3024,4032
F_5.jpg,Block F,18,7,3024,3994,3024,4032
F_6.jpg,Block F,14,7,3018,3616,3024,4032
F_7.jpg,Block F,9,177,3024,3751,3024,4032
F_8.jpg,Block F,1,6,2142,2913,2217,3362
F_9.jpg,Block F,100,12,3024,3681,3024,4032
